"","UMS","Link","Introduction","Address","Contact","Duration","Fee"
"64","BACHELOR OF SOCIAL SCIENCE WITH HONOURS (HISTORY)","https://www.ums.edu.my/fssk/en/programme/undergraduate/history-programme","This program is specifically focused on the history of Malaysia, from the Malacca Sultanate to the political development of 1990. Emphasis was also given to the aspects of French historiography, socio-economic history and the history of Sabah and Sarawak. In addition, the emphasis on the history of southeast Asia before and during Colonialism, Nationalism, modernization and development in Southeast Asia. Students will also be exposed to the history of the Middle East, Latin American History, US History, East Asian History, European History, Maritime History, Archaeology, History Australasia and Oceania as well as motion Tajdid Islah Islamic world.Career prospects
Administrative Officer at the Department of Archives / Museum, Researcher at the Department of Archives / Museum, trainers., ","Faculty of Social Science and Humanities
       Universiti Malaysia Sabah
       Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel:(+6088)320 000 Ext : 1771/2710/2711 
Email : pejfssk@ums.edu.my","-","-"
"36","BACHELOR OF SOCIAL SCIENCE WITH HONOURS (SOCIOLOGY AND SOCIAL ANTHROPOLOGY)","https://www.ums.edu.my/fssk/en/programme/undergraduate/sociology-and-social-anthropology-programme","The program introduces students to the knowledge of the concepts, theories, methods and research in Anthropology and Sociology. The courses offered include anthropology City, Rural Sociology, Ethnic Relations, Industrial Sociology, Family Systems, Structure and Organization of Power, Social Inequality, Social and Religious Affairs, Development and Environment, Society and Economy, Sociology, Environment, Issues Gender, Borneo Ethnography, Theory and Methods in Ethnomusicology, Sociology Organization Complex, Tourism Sociology, Sociology of Migration and Research Methodology and Data Analysis.,Career prospects
Social Research Officer, Administrative Officer of the Public Curator., ","Faculty of Social Science and Humanities
       Universiti Malaysia Sabah
       Jalan UMS, 88400, Kota Kinabalu, Sabah, Malaysia","Tel:(+6088)320 000 Ext : 1771/2710/2711 
Email : pejfssk@ums.edu.my","-","-"
"112","BACHELOR OF AGRICULTURAL SCIENCE WITH HONOURS (HORTICULTURE AND LANDSCAPING)","https://www.ums.edu.my/fpl/en/academic/undergraduate/hg-35-horticulture-landscaping/hg35-intro","This program is related to the art and science of propagation, production and conservation of ornamental plants to improve and brighten the environment. The choice of suitable  landscapes for ornamental  plants is important in creating and maintaining a congenial physical and spiritual environment. Other issues covered in this program include the maintenance  of natural plant resources and the environment. We emphasizes suitable urban environment  development that will be in harmony with the local climate to create a beautiful, scenic and recreational environment for the people.","Faculty of Sustainable Agriculture,  Universiti Malaysia Sabah, Locked Bag No. 3, 90509 Sandakan,Sabah, Malaysia.","(60) 89 634 000 Fax : (60) 89 634 111","-","-"
"27","BACHELOR OF AGRICULTURAL SCIENCE WITH HONOURS (CROP PRODUCTION )","https://www.ums.edu.my/fpl/en/academic/undergraduate/hg-34-crop-production/hg34-intro","This programme aims to train skilled graduates in the field of crop production to assist in increasing national agricultural productivity. Through this programme, the latest knowledge in the cultivation and management of food crops, such as  rice, corn, tapioca, sago and others, and industrial crops, such as oil palm, rubber, cocoa ,coconut and others, resulting from contemporary research will be disseminated to students.","Faculty of Sustainable Agriculture,  Universiti Malaysia Sabah, Locked Bag No. 3, 90509 Sandakan,Sabah, Malaysia.","(60) 89 634 000 Fax : (60) 89 634 111","-","-"
"37","BACHELOR OF AGRICULTURAL SCIENCE WITH HONOURS ( LIVESTOCK PRODUCTION )","-","-","Faculty of Sustainable Agriculture,  Universiti Malaysia Sabah, Locked Bag No. 3, 90509 Sandakan,Sabah, Malaysia.","(60) 89 634 000 Fax : (60) 89 634 111","-","-"
"56","BACHELOR OF SCIENCE WITH HONOURS (CONSERVATION BIOLOGY)","https://www.ums.edu.my/fpt/index.php/en/programmes/undergraduate/uh6421001-hs03","Conservation biology programme produces graduates who are knowledgeable and capable in leading the conservation of our natural resources, and its sustainable management. Students are exposed to various disciplines in biology which form the pillars for conservation efforts, interweaving the theory and practical aspects, to ensure that our graduates are industrially relevant and future-proof, on their road towards being the steward of the environment.","Faculty of Tropical Forestry, Universiti Malaysia Sabah. Kota Kinabalu, Sabah, Malaysia","Phone:
+6088-320000 Ext.: 210200 Fax: +088-320876
Email:
pejfpt@ums.edu.my","-","-"
"113","BACHELOR OF FORESTRY SCIENCE WITH HONOURS (INTERNATIONAL TROPICAL FORESTRY)","https://www.ums.edu.my/fpt/index.php/en/programmes/undergraduate/uh6623001-hg19","The goal of the program is to produce graduates which are competent and strong in Sustainable Forest Management based on strong knowledge of forestry science and forestry field technology, well trained in the interpretation of forest technology, forest policy and sensitive to current issues, have high human values, professional and responsibilities in their careers in the future.","Faculty of Tropical Forestry, Universiti Malaysia Sabah. Kota Kinabalu, Sabah, Malaysia","Phone:
+6088-320000 Ext.: 210200 Fax: +088-320876
Email:
pejfpt@ums.edu.my","-","-"
"38","BACHELOR OF FORESTRY SCIENCE WITH HONOURS (FOREST PLANTATION AND AGROFORESTRY)","https://www.ums.edu.my/fpt/index.php/en/programmes/undergraduate/uh6623002-hg23","The goal of the program is to produce graduates with strong in theoretical knowledge and with completed practical training in forest plantations and agroforestry discipline, crop and tree productions, operation of scientific equipment and farm equipment, graduates that capable and knowledgeable in the management and implementation of research projects or plantation projects. The objective is also to produce graduates with soft skills (communication, professionalism, ethics and entrepreneurship), have the interest and awareness of current issues, standards and practices in the areas of interest.","Faculty of Tropical Forestry, Universiti Malaysia Sabah. Kota Kinabalu, Sabah, Malaysia","Phone:
+6088-320000 Ext.: 210200 Fax: +088-320876
Email:
pejfpt@ums.edu.my","-","-"
"28","BACHELOR OF FORESTRY SCIENCE WITH HONOURS (NATURE PARK AND RECREATION)","https://www.ums.edu.my/fpt/index.php/en/programmes/undergraduate/uh6852001-hg20","The goal of the program is to educate in conserving and managing nature parks such as national parks, forest recreational parks and protected areas with the understanding about the functions and values of forest ecosystem, while able to deal with the science and art of park planning and management of nature parks, recreational activities and sustainable tourism.","Faculty of Tropical Forestry, Universiti Malaysia Sabah. Kota Kinabalu, Sabah, Malaysia","Phone:
+6088-320000 Ext.: 210200 Fax: +088-320876
Email:
pejfpt@ums.edu.my","-","-"
"47","BACHELOR OF FORESTRY SCIENCE WITH HONOURS (WOOD INDUSTRY AND TECHNOLOGY)","https://www.ums.edu.my/fpt/index.php/en/programmes/undergraduate/uh6543001-hy11","The goal of the program is to provide a strong foundation of knowledge and professional skilled manpower in the field of wood-based industries. With this, the program aims to produce graduates with theoretical and technical knowledge in the field of wood-based technology and industries, competent and have the soft-skills and good characteristics to meet the needs of the labour market and skilled workforce in wood-based industries.","Faculty of Tropical Forestry, Universiti Malaysia Sabah. Kota Kinabalu, Sabah, Malaysia","Phone:
+6088-320000 Ext.: 210200 Fax: +088-320876
Email:
pejfpt@ums.edu.my","-","-"
"114","BACHELOR OF INTERNATIONAL FINANCE (INTERNATIONAL FINANCIAL ECONOMICS) WITH HONOURS","https://www.ums.edu.my/fkal/en/programmes-2/bachelor/bachelor-of-international-business-international-finance-with-honours","The programme aims to offer an international business with international finance concentration curriculum that enables the Faculty to produce graduates with; (a) An opportunity to inculcate global perspective of the knowledge and analytical skills either in the field of finance, banking and business. (b) The capability of dealing with the vitality of the business and financial environment in an ethical and professionalism manner. (c) Proficient in the use of current technology and competence in their career choices both in domestics and international marketplace.","Level 3, Universiti Malaysia Sabah, Labuan International Campus, Jalan Sungai Pagar, 87000 Federal Territory of Labuan.","fkalgo[at]ums.edu.my
 +6 087 503 000 (ext. 410 000)
 +6 087 503 113","6 semester","RM865 per semester"
"29","BACHELOR OF INTERNATIONAL FINANCE (INTERNATIONAL AND OFFSHORE BANKING) WITH HONOURS","https://www.ums.edu.my/fkal/en/programmes-2/bachelor/bachelor-of-international-finance-international-and-offshore-banking-with-honours","The one and only programme in Malaysia that is developed to provide students some fundamental and applied knowledge in the field of international and offshore banking. Among the core subjects are credit management, Information Systems for Banking, International Money and Capital Market and Wealth Management.","Level 3, Universiti Malaysia Sabah, Labuan International Campus, Jalan Sungai Pagar, 87000 Federal Territory of Labuan.","fkalgo[at]ums.edu.my
 +6 087 503 000 (ext. 410 000)
 +6 087 503 113","6 semester","RM865 per semester"
"39","BACHELOR OF ISLAMIC FINANCE WITH HONOURS","https://www.ums.edu.my/fkal/en/programmes-2/bachelor/bachelor-of-islamic-finance-with-honours","This programme is developed to expose students in the field of Islamic Finance. This would include all the related activities in unconventional financing. The learning is focused upon all key aspects of Islamic finance among the main subjects of the program are Usul Fiqh, Fiqh Muamalat, and Current Issues in Islamic Finance.","Level 3, Universiti Malaysia Sabah, Labuan International Campus, Jalan Sungai Pagar, 87000 Federal Territory of Labuan.","fkalgo[at]ums.edu.my
 +6 087 503 000 (ext. 410 000)
 +6 087 503 113","8 semester","RM865 per semester"
"48","BACHELOR OF INTERNATIONAL MARKETING WITH HONOURS","https://www.ums.edu.my/fkal/en/programmes-2/bachelor/bachelor-of-international-marketing-with-honours","This programme is developed to expose students to international marketing and the activities involved when marketing goods and services internationally. The teaching and learning focuses on the application of international marketing management. Among the main subjects of the program are International Marketing Strategic Communication, Marketing Strategic Management, International Marketing, Brand Management and Cyber Marketing.","Level 3, Universiti Malaysia Sabah, Labuan International Campus, Jalan Sungai Pagar, 87000 Federal Territory of Labuan.","fkalgo[at]ums.edu.my
 +6 087 503 000 (ext. 410 000)
 +6 087 503 113","6 semester","RM865 per semester"
"57","BACHELOR OF INTERNATIONAL BUSINESS (INTERNATIONAL FINANCE) WITH HONOURS","https://www.ums.edu.my/fkal/en/programmes-2/bachelor/bachelor-of-international-finance-international-financial-economics-with-honours","This programme is developed to expose students some fundamental and applied knowledge in the field of international financial economics. The learning is focused upon all key aspects of international financial economics. Among the main subjects of the program are International Financial Economics, Econometrics for International Finance, Advanced Econometrics for International Finance and Current Issues in International Financial Economics.","Level 3, Universiti Malaysia Sabah, Labuan International Campus, Jalan Sungai Pagar, 87000 Federal Territory of Labuan.","fkalgo[at]ums.edu.my
 +6 087 503 000 (ext. 410 000)
 +6 087 503 113","6 semester","RM865 per semester"
